open_time,open,high,low,close,volume
1722343680000,66742.2,66761.4,66730.3,66738.1,13.79646003
1722343740000,66740.0,66761.4,66722.6,66747.1,4.16401252
1722343800000,66747.2,66768.0,66714.0,66730.0,6.04052988
1722343860000,66731.9,66792.7,66731.9,66792.7,5.11197803
1722343920000,66799.5,66807.9,66739.0,66739.0,6.79390468
1722343980000,66739.0,66784.0,66736.1,66762.1,10.94169984
1722344040000,66762.1,66777.8,66730.8,66730.9,0.84498097
1722344100000,66735.7,66747.9,66714.1,66727.5,5.15269066
1722344160000,66727.5,66732.5,66714.0,66714.1,0.88235878
1722344220000,66714.0,66714.1,66630.1,66635.6,13.80574464
1722344280000,66635.9,66673.1,66635.9,66663.9,2.26497738
1722344340000,66664.0,66680.8,66655.8,66660.0,4.83616313
1722344400000,66660.0,66697.9,66646.2,66656.2,9.94486159
1722344460000,66654.4,66702.7,66646.1,66701.7,2.69848184
1722344520000,66703.9,66717.0,66687.6,66696.7,6.29517329
1722344580000,66695.3,66722.4,66692.1,66721.2,7.91514023
1722344640000,66721.2,66757.9,66716.9,66752.1,4.8258666
1722344700000,66756.0,66756.0,66734.8,66741.7,2.1157564
1722344760000,66741.7,66768.0,66698.7,66698.8,9.81915962
1722344820000,66698.8,66722.8,66678.9,66686.9,2.72417574
1722344880000,66684.3,66747.8,66684.3,66722.1,15.77584116
1722344940000,66722.1,66757.5,66711.9,66757.4,9.32358954
1722345000000,66757.4,66780.0,66742.8,66775.1,12.07122566
1722345060000,66775.1,66778.0,66741.8,66764.2,4.70364049
1722345120000,66764.2,66764.2,66690.1,66704.6,4.22110848
1722345180000,66704.6,66724.0,66700.0,66706.0,5.99902629
1722345240000,66705.9,66738.0,66700.6,66738.0,11.57031551
1722345300000,66738.8,66768.5,66722.9,66762.0,5.92849044
1722345360000,66759.4,66763.9,66731.3,66734.9,2.5099766
1722345420000,66734.9,66775.9,66734.9,66753.6,4.47434611
1722345480000,66753.5,66791.9,66740.1,66778.8,12.10248177
1722345540000,66779.9,66835.0,66779.9,66835.0,12.03532669
1722345600000,66835.0,66835.0,66760.2,66779.9,3.34636208
1722345660000,66778.9,66778.9,66726.0,66733.9,1.98053326
1722345720000,66735.1,66736.8,66687.8,66718.4,6.84794781
1722345780000,66718.4,66720.0,66674.1,66678.0,10.09039301
1722345840000,66678.0,66720.0,66677.9,66709.4,8.01160526
1722345900000,66709.3,66709.3,66644.5,66661.4,5.87585888
1722345960000,66656.0,66659.8,66575.7,66578.0,8.54915111
1722346020000,66578.0,66632.0,66564.5,66599.6,12.42287596
1722346080000,66599.6,66662.0,66599.6,66643.0,11.18367828
1722346140000,66643.0,66666.0,66630.1,66630.1,2.4953567
1722346200000,66631.5,66642.0,66483.9,66527.9,8.66059687
1722346260000,66527.9,66589.9,66520.4,66575.9,4.00958291
1722346320000,66575.8,66604.0,66506.4,66570.7,2.72213873
1722346380000,66570.7,66710.0,66570.7,66704.0,5.31540849
1722346440000,66703.6,66715.9,66646.2,66698.4,8.28315916
1722346500000,66702.0,66821.4,66702.0,66814.2,13.99829269
1722346560000,66814.7,66945.1,66798.1,66863.8,11.45025427
1722346620000,66866.9,66903.8,66697.6,66752.0,20.79144809
1722346680000,66747.8,66758.0,66628.7,66631.9,6.97973761
1722346740000,66636.7,66652.8,66542.6,66614.0,11.60281953
1722346800000,66613.9,66683.2,66604.4,66661.4,8.07699814
1722346860000,66652.1,66667.3,66556.1,66593.7,2.12368782
1722346920000,66593.7,66619.6,66502.1,66509.9,5.40732253
1722346980000,66509.9,66549.8,66438.7,66540.5,22.72989638
1722347040000,66540.5,66543.9,66459.5,66500.2,1.62195603
1722347100000,66494.1,66535.8,66446.4,66455.1,3.49152724
1722347160000,66459.9,66540.0,66438.5,66524.1,4.74024888
1722347220000,66522.1,66539.9,66478.1,66480.9,2.5509606
1722347280000,66480.9,66532.4,66446.6,66463.6,5.26888304
1722347340000,66460.0,66499.9,66458.1,66466.1,1.30410486
1722347400000,66466.0,66466.0,66386.5,66415.9,5.99789808
1722347460000,66410.5,66493.4,66394.6,66454.0,3.46002519
1722347520000,66455.9,66500.0,66387.2,66420.7,2.26180733
1722347580000,66429.9,66480.0,66429.9,66464.0,1.81895908
1722347640000,66459.1,66459.1,66339.7,66339.7,5.85409272
1722347700000,66344.0,66415.8,66344.0,66400.0,2.46781911
1722347760000,66400.0,66435.9,66394.1,66435.9,2.78101895
1722347820000,66429.3,66429.3,66379.4,66379.4,2.31012873
1722347880000,66376.1,66392.0,66330.0,66334.8,3.51444698
1722347940000,66334.7,66383.7,66326.1,66383.7,3.23492205
1722348000000,66383.6,66383.6,66280.0,66305.1,21.7038056
1722348060000,66306.8,66349.7,66251.3,66295.5,24.9337941
1722348120000,66292.5,66350.8,66189.0,66310.1,29.6344178
1722348180000,66309.5,66350.9,66266.1,66275.9,4.91814974
1722348240000,66272.6,66325.3,66160.4,66322.1,43.0160023
1722348300000,66325.2,66364.0,66281.1,66352.1,5.38462626
1722348360000,66352.0,66369.9,66312.0,66369.9,10.54521771
1722348420000,66369.9,66450.7,66364.0,66402.7,9.25435089
1722348480000,66402.8,66424.9,66348.1,66375.9,3.15679584
1722348540000,66369.4,66369.4,66298.1,66312.0,3.15030999
1722348600000,66308.0,66313.2,66208.2,66218.7,5.20314566
1722348660000,66212.1,66318.7,66212.1,66318.7,5.09760537
1722348720000,66320.0,66351.8,66300.0,66306.4,4.42953455
1722348780000,66301.9,66301.9,66260.2,66291.3,3.45338738
1722348840000,66291.4,66369.7,66282.1,66369.6,1.50039237
1722348900000,66369.6,66423.5,66298.1,66407.2,5.969909
1722348960000,66400.0,66423.4,66357.8,66423.4,4.67634907
1722349020000,66423.4,66436.4,66382.3,66400.3,3.36844759
1722349080000,66398.1,66398.1,66287.0,66292.1,5.12728381
1722349140000,66304.7,66378.2,66295.9,66364.0,7.07714865
1722349200000,66366.0,66382.0,66328.1,66360.4,4.41548607
1722349260000,66366.3,66419.6,66364.6,66399.4,3.43960854
1722349320000,66399.4,66404.8,66324.3,66324.3,4.08537193
1722349380000,66325.8,66361.9,66298.2,66350.0,1.49954476
1722349440000,66345.9,66367.5,66280.9,66284.0,8.64334392
1722349500000,66284.0,66284.0,66180.0,66223.3,6.31627494
1722349560000,66226.0,66295.0,66212.1,66252.0,14.37835981
1722349620000,66254.0,66254.0,66169.2,66205.5,12.15429472
